TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.jsoup.nodes.PseudoTextElement,BRANCH,1.0,3,3
org.jsoup.nodes.BooleanAttribute,BRANCH,1.0,2,2
org.jsoup.nodes.Attributes,BRANCH,0.8350515463917526,97,81
org.jsoup.nodes.DataNode,BRANCH,1.0,9,9
org.jsoup.nodes.FormElement,BRANCH,0.59375,32,19
org.jsoup.nodes.Attribute,BRANCH,0.9180327868852459,61,56
org.jsoup.nodes.TextNode,BRANCH,0.8888888888888888,45,40
org.jsoup.nodes.EntitiesData,BRANCH,1.0,1,1
org.jsoup.nodes.Entities,BRANCH,0.7640449438202247,89,68
org.jsoup.nodes.Comment,BRANCH,1.0,8,8
org.jsoup.nodes.CDataNode,BRANCH,1.0,5,5
org.jsoup.nodes.Element,BRANCH,0.8631921824104235,307,266
org.jsoup.nodes.Document,BRANCH,0.9529411764705882,85,81
org.jsoup.nodes.XmlDeclaration,BRANCH,1.0,15,15
org.jsoup.nodes.Node,BRANCH,0.8050847457627118,118,94
org.jsoup.nodes.DocumentType,BRANCH,0.0,26,7
org.jsoup.nodes.PseudoTextElement,BRANCH,1.0,3,3
org.jsoup.nodes.BooleanAttribute,BRANCH,1.0,2,2
org.jsoup.nodes.Attributes,BRANCH,0.8350515463917526,97,81
org.jsoup.nodes.DataNode,BRANCH,1.0,9,9
org.jsoup.nodes.FormElement,BRANCH,0.46875,32,15
org.jsoup.nodes.Attribute,BRANCH,0.9180327868852459,61,56
org.jsoup.nodes.TextNode,BRANCH,0.9777777777777777,45,44
org.jsoup.nodes.EntitiesData,BRANCH,1.0,1,1
org.jsoup.nodes.Entities,BRANCH,0.7640449438202247,89,68
org.jsoup.nodes.Comment,BRANCH,1.0,8,8
org.jsoup.nodes.CDataNode,BRANCH,1.0,5,5
org.jsoup.nodes.Element,BRANCH,0.9120521172638436,307,280
org.jsoup.nodes.Document,BRANCH,0.0,85,42
org.jsoup.nodes.XmlDeclaration,BRANCH,0.9333333333333333,15,14
org.jsoup.nodes.Node,BRANCH,0.0,118,16
org.jsoup.nodes.DocumentType,BRANCH,0.0,26,13
org.jsoup.nodes.LeafNode,BRANCH,0.0,25,17
org.jsoup.internal.Normalizer,BRANCH,1.0,4,4
org.jsoup.internal.ConstrainableInputStream,BRANCH,0.875,40,35
org.jsoup.UnsupportedMimeTypeException,BRANCH,1.0,4,4
org.jsoup.examples.HtmlToPlainText,BRANCH,0.0,43,2
org.jsoup.examples.Wikipedia,BRANCH,0.75,4,3
org.jsoup.examples.ListLinks,BRANCH,0.2857142857142857,14,4
org.jsoup.safety.Whitelist,BRANCH,0.5393939393939394,165,89
org.jsoup.safety.Cleaner,BRANCH,0.6060606060606061,33,20
org.jsoup.helper.HttpConnection,BRANCH,0.0,328,19
org.jsoup.helper.W3CDom,BRANCH,0.0,32,13
org.jsoup.helper.ChangeNotifyingArrayList,BRANCH,0.0,12,0
org.jsoup.helper.StringUtil,BRANCH,0.7096774193548387,93,65
org.jsoup.helper.Validate,BRANCH,1.0,26,26
org.jsoup.helper.DataUtil,BRANCH,0.4583333333333333,96,44
org.jsoup.SerializationException,BRANCH,1.0,4,4
org.jsoup.select.Elements,BRANCH,0.0,120,16
org.jsoup.select.CombiningEvaluator,BRANCH,0.0,23,11
org.jsoup.select.Selector,BRANCH,0.6666666666666666,18,12
org.jsoup.select.StructuralEvaluator,BRANCH,0.0,48,22
org.jsoup.select.QueryParser,BRANCH,0.6339869281045751,153,97
org.jsoup.select.Collector,BRANCH,0.0,14,12
org.jsoup.select.NodeTraversor,BRANCH,0.7083333333333334,48,34
org.jsoup.select.Evaluator,BRANCH,0.0,197,9
org.jsoup.UncheckedIOException,BRANCH,1.0,2,2
org.jsoup.Jsoup,BRANCH,0.0,15,5
org.jsoup.HttpStatusException,BRANCH,1.0,4,4
org.jsoup.parser.CharacterReader,BRANCH,0.9158878504672897,214,195
org.jsoup.parser.HtmlTreeBuilder,BRANCH,0.37549407114624506,253,95
org.jsoup.parser.TokenQueue,BRANCH,0.8652482269503546,141,119
org.jsoup.parser.ParseError,BRANCH,1.0,5,5
org.jsoup.parser.HtmlTreeBuilderState,BRANCH,0.21046643913538113,879,186
org.jsoup.parser.Tokeniser,BRANCH,0.5047619047619047,105,53
org.jsoup.parser.TokeniserState,BRANCH,0.26024096385542167,830,222
org.jsoup.parser.Token,BRANCH,0.9662921348314607,89,86
org.jsoup.parser.ParseSettings,BRANCH,1.0,7,7
org.jsoup.parser.Parser,BRANCH,0.0,25,10
org.jsoup.parser.TreeBuilder,BRANCH,0.6923076923076923,13,9
org.jsoup.parser.Tag,BRANCH,0.8235294117647058,68,56
org.jsoup.parser.ParseErrorList,BRANCH,1.0,6,6
